               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11704,            0.065297,            0.073509,          0.00067542,            0.027564,          0.00044672,          4.4672e-05,             0.11423,            0.047549,            0.074654,              0.0955,              0.0005,              0.0005
                   1,             0.11009,            0.075683,            0.070582,            0.002073,             0.12154,            0.001466,          0.00049014,             0.10282,            0.053334,             0.06985,            0.090082,           0.0010824,           0.0010824
                   2,             0.09992,             0.08988,            0.064842,            0.006578,             0.21019,           0.0092225,           0.0028797,            0.092703,            0.056453,            0.062335,            0.084646,           0.0016456,           0.0016456
                   3,            0.090246,             0.08233,            0.057798,           0.0095634,            0.070198,           0.0089313,           0.0024886,            0.085964,            0.056606,            0.054635,             0.07919,           0.0021896,           0.0021896
                   4,            0.084028,            0.079608,            0.050052,             0.44793,            0.041752,            0.019931,           0.0054926,            0.079725,            0.074046,             0.05059,            0.073714,           0.0027144,           0.0027144
                   5,             0.07752,            0.074968,             0.04625,             0.66691,            0.036624,            0.026091,           0.0086765,            0.081375,             0.08585,            0.046385,             0.06822,             0.00322,             0.00322
                   6,            0.074298,            0.072988,            0.040748,             0.65398,            0.046796,            0.037735,            0.013729,            0.073155,            0.084569,            0.041722,            0.062706,           0.0037064,           0.0037064
                   7,            0.071326,             0.07557,            0.036263,             0.76635,            0.067383,             0.05694,            0.019399,            0.071183,             0.07477,            0.037024,            0.057174,           0.0041736,           0.0041736
                   8,            0.069727,            0.069422,            0.034898,             0.57697,             0.11551,            0.054992,            0.021742,            0.070156,             0.06107,            0.034147,            0.051622,           0.0046216,           0.0046216
                   9,            0.068907,            0.069133,            0.032638,             0.82459,            0.059774,            0.066649,            0.021025,            0.075127,            0.058317,            0.032485,             0.04605,           0.0050504,           0.0050504
                  10,            0.069417,            0.070304,            0.029947,             0.59211,             0.14604,            0.085479,            0.033253,            0.067936,            0.057412,            0.030961,             0.04046,             0.00546,             0.00546
                  11,            0.068069,            0.065064,            0.029746,             0.66389,            0.095285,            0.049336,            0.016435,            0.078628,            0.052521,            0.029596,             0.03485,           0.0058504,           0.0058504
                  12,             0.07156,            0.066111,            0.028195,             0.63715,             0.16786,             0.11257,            0.040577,            0.064133,            0.052369,            0.028243,            0.029222,           0.0062216,           0.0062216
                  13,            0.067987,             0.06719,            0.026887,             0.60654,             0.15716,            0.099353,            0.037882,            0.071682,            0.050416,            0.027103,            0.023574,           0.0065736,           0.0065736
                  14,            0.068469,            0.063587,            0.025068,             0.57885,             0.23061,              0.1998,            0.076892,            0.068693,            0.048346,            0.025792,            0.017906,           0.0069064,           0.0069064
                  15,            0.067266,            0.060506,            0.025765,             0.56931,              0.2434,             0.15863,            0.055095,             0.07153,            0.048235,            0.024872,             0.01222,             0.00722,             0.00722
                  16,            0.068743,            0.059414,            0.023293,             0.65735,             0.31266,             0.29077,             0.10952,            0.061859,            0.047676,            0.023913,             0.00744,             0.00744,             0.00744
                  17,            0.065606,            0.060742,            0.022891,             0.53615,             0.33488,              0.2138,             0.08889,            0.067264,            0.046731,            0.023323,             0.00744,             0.00744,             0.00744
                  18,            0.064148,            0.061247,            0.022242,             0.63897,             0.32409,             0.30958,             0.11738,            0.065201,            0.047209,            0.022708,             0.00728,             0.00728,             0.00728
                  19,            0.064692,            0.066595,            0.021221,             0.61291,             0.30443,             0.29999,             0.12277,            0.064824,            0.046961,            0.022362,             0.00712,             0.00712,             0.00712
                  20,            0.062315,            0.060779,            0.019918,             0.65753,             0.35785,             0.35153,             0.13286,            0.060932,            0.046992,            0.021355,             0.00696,             0.00696,             0.00696
                  21,             0.05946,            0.063069,             0.01991,             0.68861,             0.30259,             0.34708,             0.12768,            0.060798,            0.047816,            0.020492,              0.0068,              0.0068,              0.0068
                  22,            0.058512,              0.0587,            0.019247,             0.65326,             0.42685,             0.40182,             0.14428,            0.057566,            0.047932,            0.020336,             0.00664,             0.00664,             0.00664
                  23,            0.055452,            0.057046,            0.019067,             0.63486,             0.40223,             0.35416,             0.14463,            0.059872,            0.047663,            0.020037,             0.00648,             0.00648,             0.00648
                  24,            0.056625,            0.060083,            0.017293,             0.67962,              0.4101,             0.40152,             0.16901,            0.056763,            0.048516,            0.019717,             0.00632,             0.00632,             0.00632
                  25,            0.055257,            0.056298,             0.01744,             0.64689,             0.37355,             0.33484,             0.14103,            0.058466,            0.049003,            0.019381,             0.00616,             0.00616,             0.00616
                  26,            0.054048,            0.058522,            0.016559,             0.68913,              0.3511,             0.38077,             0.15651,            0.056613,            0.048806,            0.018934,               0.006,               0.006,               0.006
                  27,            0.053672,            0.053433,             0.01577,             0.65212,             0.37922,             0.36308,             0.14853,            0.056279,            0.048096,            0.019112,             0.00584,             0.00584,             0.00584
                  28,            0.051934,            0.056681,            0.014924,             0.73832,             0.38692,               0.417,             0.16691,            0.053503,            0.049293,            0.018573,             0.00568,             0.00568,             0.00568
                  29,            0.050721,            0.050319,            0.014981,             0.71169,             0.39943,             0.42281,             0.16805,             0.05592,            0.049512,            0.018324,             0.00552,             0.00552,             0.00552
                  30,            0.050774,            0.052664,            0.014839,              0.7257,             0.39449,             0.41976,             0.18223,            0.053918,            0.049286,            0.018341,             0.00536,             0.00536,             0.00536
                  31,            0.049744,             0.05447,            0.014155,             0.73869,             0.40375,             0.45151,             0.19194,            0.053268,            0.049779,            0.018585,              0.0052,              0.0052,              0.0052
                  32,            0.048107,            0.055597,            0.013815,             0.74956,             0.42414,             0.45427,             0.19519,            0.053773,            0.049529,            0.018635,             0.00504,             0.00504,             0.00504
                  33,            0.048253,            0.053225,             0.01312,              0.7035,             0.41435,             0.45205,             0.18696,            0.053528,             0.05001,            0.018914,             0.00488,             0.00488,             0.00488
                  34,            0.049284,            0.054288,             0.01241,             0.76837,             0.36825,             0.43173,             0.19168,            0.052149,            0.049977,            0.019088,             0.00472,             0.00472,             0.00472
                  35,            0.047131,            0.051904,            0.012906,             0.76724,             0.37438,             0.43672,             0.20578,            0.052299,            0.049829,            0.019593,             0.00456,             0.00456,             0.00456
                  36,            0.046699,            0.051781,            0.012761,             0.76404,             0.38032,             0.41852,             0.19572,            0.052845,            0.050638,            0.019617,              0.0044,              0.0044,              0.0044
                  37,            0.045304,             0.04862,             0.01254,             0.73418,               0.378,              0.4311,             0.18833,            0.051943,            0.051453,            0.020239,             0.00424,             0.00424,             0.00424
                  38,            0.045179,            0.054289,            0.011632,             0.75919,             0.40915,             0.45083,             0.20264,             0.05173,            0.050486,            0.020402,             0.00408,             0.00408,             0.00408
                  39,            0.043937,            0.052634,            0.012375,             0.73435,             0.39702,             0.43699,             0.19262,            0.052488,            0.050934,            0.019938,             0.00392,             0.00392,             0.00392
                  40,            0.043747,            0.051001,            0.010555,              0.7495,             0.39283,             0.41928,             0.19938,            0.051939,            0.051199,            0.019517,             0.00376,             0.00376,             0.00376
                  41,            0.043722,            0.052063,            0.010559,              0.7351,             0.42506,              0.4405,             0.19608,             0.05197,            0.051126,            0.019121,              0.0036,              0.0036,              0.0036
                  42,            0.043172,            0.053726,            0.010724,             0.76583,             0.41074,              0.4641,             0.22039,            0.050211,             0.05115,            0.018677,             0.00344,             0.00344,             0.00344
                  43,            0.041753,            0.048913,            0.010312,              0.7672,             0.41828,             0.46487,             0.21583,            0.050237,            0.050932,            0.018757,             0.00328,             0.00328,             0.00328
                  44,            0.042264,            0.054503,            0.011138,             0.76877,             0.40009,             0.49472,             0.23145,            0.050655,            0.050806,            0.019028,             0.00312,             0.00312,             0.00312
                  45,            0.041918,            0.050412,            0.010383,             0.76361,             0.39809,             0.48497,             0.22278,             0.05055,            0.051888,            0.019501,             0.00296,             0.00296,             0.00296
                  46,            0.040461,            0.048444,            0.010283,             0.75157,             0.41139,             0.47634,             0.22101,            0.050348,            0.051623,            0.019647,              0.0028,              0.0028,              0.0028
                  47,            0.041025,            0.053769,            0.010702,             0.77146,             0.41656,             0.49325,             0.22794,            0.049553,            0.051835,            0.019278,             0.00264,             0.00264,             0.00264
                  48,            0.039495,            0.048068,           0.0098606,             0.75416,             0.41273,             0.48389,             0.21995,            0.050935,             0.05176,            0.019564,             0.00248,             0.00248,             0.00248
                  49,             0.04014,             0.05213,           0.0091841,              0.7378,             0.43617,             0.48073,             0.22957,            0.050598,             0.05184,            0.019646,             0.00232,             0.00232,             0.00232
